Iterations,Accuracy (%),Agg,ATK,Group,H.M.E.
0,9.805689102564102,SCClip,SandTrap,global,False
30,9.805689102564102,SCClip,SandTrap,global,False
60,9.805689102564102,SCClip,SandTrap,global,False
90,9.805689102564102,SCClip,SandTrap,global,False
120,9.805689102564102,SCClip,SandTrap,global,False
150,9.805689102564102,SCClip,SandTrap,global,False
180,9.805689102564102,SCClip,SandTrap,global,False
210,9.805689102564102,SCClip,SandTrap,global,False
240,9.805689102564102,SCClip,SandTrap,global,False
270,9.805689102564102,SCClip,SandTrap,global,False
300,9.805689102564102,SCClip,SandTrap,global,False
330,9.805689102564102,SCClip,SandTrap,global,False
360,9.805689102564102,SCClip,SandTrap,global,False
390,9.805689102564102,SCClip,SandTrap,global,False
420,9.805689102564102,SCClip,SandTrap,global,False
450,9.805689102564102,SCClip,SandTrap,global,False
480,9.805689102564102,SCClip,SandTrap,global,False
510,9.805689102564102,SCClip,SandTrap,global,False
540,9.805689102564102,SCClip,SandTrap,global,False
570,9.805689102564102,SCClip,SandTrap,global,False
600,9.805689102564102,SCClip,SandTrap,global,False
630,9.805689102564102,SCClip,SandTrap,global,False
660,9.805689102564102,SCClip,SandTrap,global,False
690,9.805689102564102,SCClip,SandTrap,global,False
720,9.805689102564102,SCClip,SandTrap,global,False
750,9.805689102564102,SCClip,SandTrap,global,False
780,9.805689102564102,SCClip,SandTrap,global,False
810,9.805689102564102,SCClip,SandTrap,global,False
840,9.805689102564102,SCClip,SandTrap,global,False
870,9.805689102564102,SCClip,SandTrap,global,False
0,9.805689102564102,SCClip,SandTrap,global,True
30,9.805689102564102,SCClip,SandTrap,global,True
60,9.805689102564102,SCClip,SandTrap,global,True
90,9.805689102564102,SCClip,SandTrap,global,True
120,9.805689102564102,SCClip,SandTrap,global,True
150,9.805689102564102,SCClip,SandTrap,global,True
180,9.805689102564102,SCClip,SandTrap,global,True
210,9.805689102564102,SCClip,SandTrap,global,True
240,9.805689102564102,SCClip,SandTrap,global,True
270,9.805689102564102,SCClip,SandTrap,global,True
300,9.805689102564102,SCClip,SandTrap,global,True
330,9.805689102564102,SCClip,SandTrap,global,True
360,9.805689102564102,SCClip,SandTrap,global,True
390,9.805689102564102,SCClip,SandTrap,global,True
420,9.805689102564102,SCClip,SandTrap,global,True
450,9.805689102564102,SCClip,SandTrap,global,True
480,9.805689102564102,SCClip,SandTrap,global,True
510,9.805689102564102,SCClip,SandTrap,global,True
540,9.805689102564102,SCClip,SandTrap,global,True
570,9.805689102564102,SCClip,SandTrap,global,True
600,9.805689102564102,SCClip,SandTrap,global,True
630,9.805689102564102,SCClip,SandTrap,global,True
660,9.805689102564102,SCClip,SandTrap,global,True
690,9.805689102564102,SCClip,SandTrap,global,True
720,9.805689102564102,SCClip,SandTrap,global,True
750,9.805689102564102,SCClip,SandTrap,global,True
780,9.805689102564102,SCClip,SandTrap,global,True
810,9.805689102564102,SCClip,SandTrap,global,True
840,9.805689102564102,SCClip,SandTrap,global,True
870,9.805689102564102,SCClip,SandTrap,global,True
0,85.31650641025641,SCClip,Echo,global,False
30,90.56490384615384,SCClip,Echo,global,False
60,91.43629807692308,SCClip,Echo,global,False
90,91.25600961538461,SCClip,Echo,global,False
