Iterations,Accuracy (%),$\delta_{\max}$,ATK,b,Group
0,9.805689102564102,0.0,Echo,1,All
30,9.805689102564102,0.0,Echo,1,All
60,9.805689102564102,0.0,Echo,1,All
90,9.805689102564102,0.0,Echo,1,All
120,9.805689102564102,0.0,Echo,1,All
150,9.805689102564102,0.0,Echo,1,All
180,9.805689102564102,0.0,Echo,1,All
210,9.805689102564102,0.0,Echo,1,All
240,9.805689102564102,0.0,Echo,1,All
270,9.805689102564102,0.0,Echo,1,All
300,9.805689102564102,0.0,Echo,1,All
330,9.805689102564102,0.0,Echo,1,All
360,9.805689102564102,0.0,Echo,1,All
390,9.805689102564102,0.0,Echo,1,All
420,9.805689102564102,0.0,Echo,1,All
450,9.805689102564102,0.0,Echo,1,All
480,9.805689102564102,0.0,Echo,1,All
510,9.805689102564102,0.0,Echo,1,All
540,9.805689102564102,0.0,Echo,1,All
570,9.805689102564102,0.0,Echo,1,All
600,9.805689102564102,0.0,Echo,1,All
630,9.805689102564102,0.0,Echo,1,All
660,9.805689102564102,0.0,Echo,1,All
690,9.805689102564102,0.0,Echo,1,All
720,9.805689102564102,0.0,Echo,1,All
750,9.805689102564102,0.0,Echo,1,All
780,9.805689102564102,0.0,Echo,1,All
810,9.805689102564102,0.0,Echo,1,All
840,9.805689102564102,0.0,Echo,1,All
870,9.805689102564102,0.0,Echo,1,All
900,9.805689102564102,0.0,Echo,1,All
930,9.805689102564102,0.0,Echo,1,All
0,38.49158653846154,0.0,Echo,1,Clique A
30,39.352964743589745,0.0,Echo,1,Clique A
60,39.98397435897436,0.0,Echo,1,Clique A
90,40.17427884615385,0.0,Echo,1,Clique A
120,41.25600961538461,0.0,Echo,1,Clique A
150,42.50801282051282,0.0,Echo,1,Clique A
180,43.68990384615385,0.0,Echo,1,Clique A
210,44.641426282051285,0.0,Echo,1,Clique A
240,45.32251602564103,0.0,Echo,1,Clique A
270,45.77323717948718,0.0,Echo,1,Clique A
300,46.09375,0.0,Echo,1,Clique A
330,46.47435897435897,0.0,Echo,1,Clique A
360,46.774839743589745,0.0,Echo,1,Clique A
390,46.985176282051285,0.0,Echo,1,Clique A
420,47.17548076923077,0.0,Echo,1,Clique A
450,47.2255608974359,0.0,Echo,1,Clique A
480,47.345753205128204,0.0,Echo,1,Clique A
510,47.46594551282051,0.0,Echo,1,Clique A
540,47.546073717948715,0.0,Echo,1,Clique A
570,47.65625,0.0,Echo,1,Clique A
600,47.736378205128204,0.0,Echo,1,Clique A
630,47.756410256410255,0.0,Echo,1,Clique A
660,47.77644230769231,0.0,Echo,1,Clique A
690,47.83653846153846,0.0,Echo,1,Clique A
720,47.83653846153846,0.0,Echo,1,Clique A
750,47.85657051282051,0.0,Echo,1,Clique A
780,47.87660256410256,0.0,Echo,1,Clique A
810,47.88661858974359,0.0,Echo,1,Clique A
840,47.89663461538461,0.0,Echo,1,Clique A
870,47.87660256410256,0.0,Echo,1,Clique A
900,47.88661858974359,0.0,Echo,1,Clique A
930,47.88661858974359,0.0,Echo,1,Clique A
0,32.05128205128205,0.0,Echo,1,Clique B
30,35.71714743589744,0.0,Echo,1,Clique B
60,39.322916666666664,0.0,Echo,1,Clique B
90,42.25761217948718,0.0,Echo,1,Clique B
120,43.048878205128204,0.0,Echo,1,Clique B
150,43.71995192307692,0.0,Echo,1,Clique B
180,44.1005608974359,0.0,Echo,1,Clique B
210,44.32091346153846,0.0,Echo,1,Clique B
240,44.52123397435897,0.0,Echo,1,Clique B
270,44.631410256410255,0.0,Echo,1,Clique B
300,44.76161858974359,0.0,Echo,1,Clique B
330,44.85176282051282,0.0,Echo,1,Clique B
360,45.04206730769231,0.0,Echo,1,Clique B
390,45.17227564102564,0.0,Echo,1,Clique B
420,45.22235576923077,0.0,Echo,1,Clique B
450,45.3125,0.0,Echo,1,Clique B
480,45.422676282051285,0.0,Echo,1,Clique B
510,45.51282051282051,0.0,Echo,1,Clique B
540,45.61298076923077,0.0,Echo,1,Clique B
570,45.6630608974359,0.0,Echo,1,Clique B
600,45.703125,0.0,Echo,1,Clique B
630,45.72315705128205,0.0,Echo,1,Clique B
660,45.73317307692308,0.0,Echo,1,Clique B
690,45.77323717948718,0.0,Echo,1,Clique B
720,45.783253205128204,0.0,Echo,1,Clique B
750,45.813301282051285,0.0,Echo,1,Clique B
780,45.813301282051285,0.0,Echo,1,Clique B
810,45.833333333333336,0.0,Echo,1,Clique B
840,45.84334935897436,0.0,Echo,1,Clique B
870,45.88341346153846,0.0,Echo,1,Clique B
900,45.90344551282051,0.0,Echo,1,Clique B
930,45.91346153846154,0.0,Echo,1,Clique B
0,33.693910256410255,0.0625,Echo,1,All
30,66.56650641025641,0.0625,Echo,1,All
60,73.87820512820512,0.0625,Echo,1,All
90,75.94150641025641,0.0625,Echo,1,All
120,77.4639423076923,0.0625,Echo,1,All
150,78.515625,0.0625,Echo,1,All
180,79.6073717948718,0.0625,Echo,1,All
210,81.1298076923077,0.0625,Echo,1,All
240,82.49198717948718,0.0625,Echo,1,All
270,83.68389423076923,0.0625,Echo,1,All
300,84.66546474358974,0.0625,Echo,1,All
330,85.40665064102564,0.0625,Echo,1,All
360,86.02764423076923,0.0625,Echo,1,All
390,86.3681891025641,0.0625,Echo,1,All
420,86.7988782051282,0.0625,Echo,1,All
450,86.84895833333333,0.0625,Echo,1,All
480,86.99919871794872,0.0625,Echo,1,All
510,87.24959935897436,0.0625,Echo,1,All
540,87.3798076923077,0.0625,Echo,1,All
570,87.47996794871794,0.0625,Echo,1,All
600,87.56009615384616,0.0625,Echo,1,All
630,87.69030448717949,0.0625,Echo,1,All
660,87.66025641025641,0.0625,Echo,1,All
690,87.42988782051282,0.0625,Echo,1,All
720,87.46995192307692,0.0625,Echo,1,All
750,87.67027243589743,0.0625,Echo,1,All
780,87.7704326923077,0.0625,Echo,1,All
810,87.94070512820512,0.0625,Echo,1,All
840,87.68028846153847,0.0625,Echo,1,All
870,88.14102564102564,0.0625,Echo,1,All
900,88.35136217948718,0.0625,Echo,1,All
930,89.23277243589743,0.0625,Echo,1,All
960,89.43309294871794,0.0625,Echo,1,All
990,89.48317307692308,0.0625,Echo,1,All
1020,90.12419871794872,0.0625,Echo,1,All
1050,90.12419871794872,0.0625,Echo,1,All
1080,90.05408653846153,0.0625,Echo,1,All
1110,90.234375,0.0625,Echo,1,All
1140,90.3145032051282,0.0625,Echo,1,All
0,38.61177884615385,0.0625,Echo,1,Clique A
30,39.4130608974359,0.0625,Echo,1,Clique A
60,41.52644230769231,0.0625,Echo,1,Clique A
90,47.2255608974359,0.0625,Echo,1,Clique A
120,51.53245192307692,0.0625,Echo,1,Clique A
150,54.196714743589745,0.0625,Echo,1,Clique A
180,56.48036858974359,0.0625,Echo,1,Clique A
210,58.463541666666664,0.0625,Echo,1,Clique A
240,60.30649038461539,0.0625,Echo,1,Clique A
270,61.88902243589744,0.0625,Echo,1,Clique A
300,63.31129807692308,0.0625,Echo,1,Clique A
330,64.40304487179488,0.0625,Echo,1,Clique A
360,65.53485576923077,0.0625,Echo,1,Clique A
390,66.34615384615384,0.0625,Echo,1,Clique A
420,67.39783653846153,0.0625,Echo,1,Clique A
450,67.90865384615384,0.0625,Echo,1,Clique A
480,68.6698717948718,0.0625,Echo,1,Clique A
510,69.66145833333333,0.0625,Echo,1,Clique A
540,70.18229166666667,0.0625,Echo,1,Clique A
570,71.23397435897436,0.0625,Echo,1,Clique A
600,72.33573717948718,0.0625,Echo,1,Clique A
630,72.86658653846153,0.0625,Echo,1,Clique A
660,73.99839743589743,0.0625,Echo,1,Clique A
690,73.69791666666667,0.0625,Echo,1,Clique A
720,74.34895833333333,0.0625,Echo,1,Clique A
750,74.05849358974359,0.0625,Echo,1,Clique A
780,72.85657051282051,0.0625,Echo,1,Clique A
810,73.23717948717949,0.0625,Echo,1,Clique A
840,71.76482371794872,0.0625,Echo,1,Clique A
870,73.29727564102564,0.0625,Echo,1,Clique A
900,73.91826923076923,0.0625,Echo,1,Clique A
930,76.26201923076923,0.0625,Echo,1,Clique A
960,76.73277243589743,0.0625,Echo,1,Clique A
990,76.8729967948718,0.0625,Echo,1,Clique A
1020,77.35376602564102,0.0625,Echo,1,Clique A
1050,79.06650641025641,0.0625,Echo,1,Clique A
1080,78.14503205128206,0.0625,Echo,1,Clique A
1110,79.42708333333333,0.0625,Echo,1,Clique A
1140,81.78084935897436,0.0625,Echo,1,Clique A
0,33.66386217948718,0.0625,Echo,1,Clique B
30,36.10777243589744,0.0625,Echo,1,Clique B
60,41.04567307692308,0.0625,Echo,1,Clique B
90,44.17067307692308,0.0625,Echo,1,Clique B
120,49.26883012820513,0.0625,Echo,1,Clique B
150,51.5625,0.0625,Echo,1,Clique B
180,52.72435897435897,0.0625,Echo,1,Clique B
210,53.826121794871796,0.0625,Echo,1,Clique B
240,54.977964743589745,0.0625,Echo,1,Clique B
270,55.959535256410255,0.0625,Echo,1,Clique B
300,56.901041666666664,0.0625,Echo,1,Clique B
330,57.75240384615385,0.0625,Echo,1,Clique B
360,58.59375,0.0625,Echo,1,Clique B
390,59.62540064102564,0.0625,Echo,1,Clique B
420,60.436698717948715,0.0625,Echo,1,Clique B
450,61.33814102564103,0.0625,Echo,1,Clique B
480,62.15945512820513,0.0625,Echo,1,Clique B
510,63.181089743589745,0.0625,Echo,1,Clique B
540,63.962339743589745,0.0625,Echo,1,Clique B
570,65.1943108974359,0.0625,Echo,1,Clique B
600,66.21594551282051,0.0625,Echo,1,Clique B
630,67.12740384615384,0.0625,Echo,1,Clique B
660,67.91866987179488,0.0625,Echo,1,Clique B
690,68.36939102564102,0.0625,Echo,1,Clique B
720,68.82011217948718,0.0625,Echo,1,Clique B
