Iterations,Accuracy (%),$\delta_{\max}$,ATK,b,Group
0,9.805689102564102,0.0,StateOverride,1,All
30,9.805689102564102,0.0,StateOverride,1,All
60,9.805689102564102,0.0,StateOverride,1,All
90,9.805689102564102,0.0,StateOverride,1,All
120,9.805689102564102,0.0,StateOverride,1,All
150,9.805689102564102,0.0,StateOverride,1,All
180,9.805689102564102,0.0,StateOverride,1,All
210,9.805689102564102,0.0,StateOverride,1,All
240,9.805689102564102,0.0,StateOverride,1,All
270,9.805689102564102,0.0,StateOverride,1,All
300,9.805689102564102,0.0,StateOverride,1,All
330,9.805689102564102,0.0,StateOverride,1,All
360,9.805689102564102,0.0,StateOverride,1,All
390,9.805689102564102,0.0,StateOverride,1,All
420,9.805689102564102,0.0,StateOverride,1,All
450,9.805689102564102,0.0,StateOverride,1,All
480,9.805689102564102,0.0,StateOverride,1,All
510,9.805689102564102,0.0,StateOverride,1,All
540,9.805689102564102,0.0,StateOverride,1,All
570,9.805689102564102,0.0,StateOverride,1,All
600,9.805689102564102,0.0,StateOverride,1,All
630,9.805689102564102,0.0,StateOverride,1,All
660,9.805689102564102,0.0,StateOverride,1,All
690,9.805689102564102,0.0,StateOverride,1,All
720,9.805689102564102,0.0,StateOverride,1,All
750,9.805689102564102,0.0,StateOverride,1,All
780,9.805689102564102,0.0,StateOverride,1,All
810,9.805689102564102,0.0,StateOverride,1,All
840,9.805689102564102,0.0,StateOverride,1,All
870,9.805689102564102,0.0,StateOverride,1,All
900,9.805689102564102,0.0,StateOverride,1,All
930,9.805689102564102,0.0,StateOverride,1,All
960,9.805689102564102,0.0,StateOverride,1,All
990,9.805689102564102,0.0,StateOverride,1,All
1020,9.805689102564102,0.0,StateOverride,1,All
1050,9.805689102564102,0.0,StateOverride,1,All
1080,9.805689102564102,0.0,StateOverride,1,All
1110,9.805689102564102,0.0,StateOverride,1,All
1140,9.805689102564102,0.0,StateOverride,1,All
1170,9.805689102564102,0.0,StateOverride,1,All
1200,9.805689102564102,0.0,StateOverride,1,All
1230,9.805689102564102,0.0,StateOverride,1,All
1260,9.805689102564102,0.0,StateOverride,1,All
1290,9.805689102564102,0.0,StateOverride,1,All
1320,9.805689102564102,0.0,StateOverride,1,All
1350,9.805689102564102,0.0,StateOverride,1,All
1380,9.805689102564102,0.0,StateOverride,1,All
1410,9.805689102564102,0.0,StateOverride,1,All
1440,9.805689102564102,0.0,StateOverride,1,All
1470,9.805689102564102,0.0,StateOverride,1,All
0,38.49158653846154,0.0,StateOverride,1,Clique A
30,39.352964743589745,0.0,StateOverride,1,Clique A
60,39.98397435897436,0.0,StateOverride,1,Clique A
90,40.17427884615385,0.0,StateOverride,1,Clique A
120,41.25600961538461,0.0,StateOverride,1,Clique A
150,42.50801282051282,0.0,StateOverride,1,Clique A
180,43.68990384615385,0.0,StateOverride,1,Clique A
210,44.641426282051285,0.0,StateOverride,1,Clique A
240,45.3125,0.0,StateOverride,1,Clique A
270,45.77323717948718,0.0,StateOverride,1,Clique A
300,46.09375,0.0,StateOverride,1,Clique A
330,46.46434294871795,0.0,StateOverride,1,Clique A
360,46.774839743589745,0.0,StateOverride,1,Clique A
390,46.99519230769231,0.0,StateOverride,1,Clique A
420,47.17548076923077,0.0,StateOverride,1,Clique A
450,47.20552884615385,0.0,StateOverride,1,Clique A
480,47.33573717948718,0.0,StateOverride,1,Clique A
510,47.46594551282051,0.0,StateOverride,1,Clique A
540,47.53605769230769,0.0,StateOverride,1,Clique A
570,47.65625,0.0,StateOverride,1,Clique A
600,47.72636217948718,0.0,StateOverride,1,Clique A
630,47.74639423076923,0.0,StateOverride,1,Clique A
660,47.766426282051285,0.0,StateOverride,1,Clique A
690,47.82652243589744,0.0,StateOverride,1,Clique A
720,47.81650641025641,0.0,StateOverride,1,Clique A
750,47.87660256410256,0.0,StateOverride,1,Clique A
780,47.87660256410256,0.0,StateOverride,1,Clique A
810,47.916666666666664,0.0,StateOverride,1,Clique A
840,47.88661858974359,0.0,StateOverride,1,Clique A
870,47.87660256410256,0.0,StateOverride,1,Clique A
900,47.88661858974359,0.0,StateOverride,1,Clique A
930,47.88661858974359,0.0,StateOverride,1,Clique A
960,47.87660256410256,0.0,StateOverride,1,Clique A
990,47.87660256410256,0.0,StateOverride,1,Clique A
1020,47.80649038461539,0.0,StateOverride,1,Clique A
1050,47.79647435897436,0.0,StateOverride,1,Clique A
1080,47.756410256410255,0.0,StateOverride,1,Clique A
1110,47.6963141025641,0.0,StateOverride,1,Clique A
1140,47.68629807692308,0.0,StateOverride,1,Clique A
1170,47.66626602564103,0.0,StateOverride,1,Clique A
1200,47.65625,0.0,StateOverride,1,Clique A
1230,47.59615384615385,0.0,StateOverride,1,Clique A
1260,47.60616987179487,0.0,StateOverride,1,Clique A
1290,47.60616987179487,0.0,StateOverride,1,Clique A
1320,47.58613782051282,0.0,StateOverride,1,Clique A
1350,47.6161858974359,0.0,StateOverride,1,Clique A
1380,47.68629807692308,0.0,StateOverride,1,Clique A
1410,47.68629807692308,0.0,StateOverride,1,Clique A
1440,47.79647435897436,0.0,StateOverride,1,Clique A
1470,47.92668269230769,0.0,StateOverride,1,Clique A
0,32.05128205128205,0.0,StateOverride,1,Clique B
30,35.71714743589744,0.0,StateOverride,1,Clique B
60,39.322916666666664,0.0,StateOverride,1,Clique B
90,42.25761217948718,0.0,StateOverride,1,Clique B
120,43.048878205128204,0.0,StateOverride,1,Clique B
150,43.71995192307692,0.0,StateOverride,1,Clique B
180,44.1005608974359,0.0,StateOverride,1,Clique B
210,44.32091346153846,0.0,StateOverride,1,Clique B
240,44.52123397435897,0.0,StateOverride,1,Clique B
270,44.631410256410255,0.0,StateOverride,1,Clique B
300,44.76161858974359,0.0,StateOverride,1,Clique B
330,44.85176282051282,0.0,StateOverride,1,Clique B
360,45.032051282051285,0.0,StateOverride,1,Clique B
390,45.17227564102564,0.0,StateOverride,1,Clique B
420,45.24238782051282,0.0,StateOverride,1,Clique B
450,45.32251602564103,0.0,StateOverride,1,Clique B
480,45.422676282051285,0.0,StateOverride,1,Clique B
510,45.51282051282051,0.0,StateOverride,1,Clique B
540,45.622996794871796,0.0,StateOverride,1,Clique B
570,45.67307692307692,0.0,StateOverride,1,Clique B
600,45.703125,0.0,StateOverride,1,Clique B
630,45.72315705128205,0.0,StateOverride,1,Clique B
660,45.73317307692308,0.0,StateOverride,1,Clique B
690,45.77323717948718,0.0,StateOverride,1,Clique B
720,45.783253205128204,0.0,StateOverride,1,Clique B
750,45.813301282051285,0.0,StateOverride,1,Clique B
780,45.82331730769231,0.0,StateOverride,1,Clique B
810,45.813301282051285,0.0,StateOverride,1,Clique B
840,45.833333333333336,0.0,StateOverride,1,Clique B
870,45.88341346153846,0.0,StateOverride,1,Clique B
900,45.90344551282051,0.0,StateOverride,1,Clique B
930,45.91346153846154,0.0,StateOverride,1,Clique B
960,45.95352564102564,0.0,StateOverride,1,Clique B
990,45.97355769230769,0.0,StateOverride,1,Clique B
1020,46.00360576923077,0.0,StateOverride,1,Clique B
1050,46.00360576923077,0.0,StateOverride,1,Clique B
1080,46.00360576923077,0.0,StateOverride,1,Clique B
1110,46.02363782051282,0.0,StateOverride,1,Clique B
1140,46.02363782051282,0.0,StateOverride,1,Clique B
1170,46.02363782051282,0.0,StateOverride,1,Clique B
1200,46.02363782051282,0.0,StateOverride,1,Clique B
1230,46.02363782051282,0.0,StateOverride,1,Clique B
1260,46.02363782051282,0.0,StateOverride,1,Clique B
1290,46.013621794871796,0.0,StateOverride,1,Clique B
1320,46.013621794871796,0.0,StateOverride,1,Clique B
1350,46.02363782051282,0.0,StateOverride,1,Clique B
1380,46.03365384615385,0.0,StateOverride,1,Clique B
1410,46.03365384615385,0.0,StateOverride,1,Clique B
1440,46.04366987179487,0.0,StateOverride,1,Clique B
1470,46.04366987179487,0.0,StateOverride,1,Clique B
0,32.61217948717949,0.0625,StateOverride,1,All
30,64.35296474358974,0.0625,StateOverride,1,All
60,72.93669871794872,0.0625,StateOverride,1,All
90,75.18028846153847,0.0625,StateOverride,1,All
120,76.35216346153847,0.0625,StateOverride,1,All
150,77.32371794871794,0.0625,StateOverride,1,All
180,77.84455128205128,0.0625,StateOverride,1,All
210,78.29527243589743,0.0625,StateOverride,1,All
240,78.64583333333333,0.0625,StateOverride,1,All
270,79.0264423076923,0.0625,StateOverride,1,All
300,79.42708333333333,0.0625,StateOverride,1,All
330,79.82772435897436,0.0625,StateOverride,1,All
360,80.29847756410257,0.0625,StateOverride,1,All
390,80.60897435897436,0.0625,StateOverride,1,All
420,80.8994391025641,0.0625,StateOverride,1,All
450,81.03966346153847,0.0625,StateOverride,1,All
480,81.18990384615384,0.0625,StateOverride,1,All
