Iterations,Accuracy (%),$\delta_{\max}$,ATK,b,Group
0,52.243589743589745,0.0,StateOverride,0,All
30,72.13541666666667,0.0,StateOverride,0,All
60,82.6923076923077,0.0,StateOverride,0,All
90,86.53846153846153,0.0,StateOverride,0,All
120,88.47155448717949,0.0,StateOverride,0,All
150,89.28285256410257,0.0,StateOverride,0,All
180,89.93389423076923,0.0,StateOverride,0,All
210,90.38461538461539,0.0,StateOverride,0,All
240,90.7051282051282,0.0,StateOverride,0,All
270,91.00560897435898,0.0,StateOverride,0,All
300,91.26602564102564,0.0,StateOverride,0,All
330,91.50641025641026,0.0,StateOverride,0,All
360,91.65665064102564,0.0,StateOverride,0,All
390,91.78685897435898,0.0,StateOverride,0,All
420,91.93709935897436,0.0,StateOverride,0,All
450,92.11738782051282,0.0,StateOverride,0,All
480,92.28766025641026,0.0,StateOverride,0,All
510,92.38782051282051,0.0,StateOverride,0,All
540,92.4979967948718,0.0,StateOverride,0,All
570,92.6181891025641,0.0,StateOverride,0,All
600,92.70833333333333,0.0,StateOverride,0,All
630,92.85857371794872,0.0,StateOverride,0,All
660,92.8886217948718,0.0,StateOverride,0,All
690,92.99879807692308,0.0,StateOverride,0,All
720,93.05889423076923,0.0,StateOverride,0,All
750,93.11899038461539,0.0,StateOverride,0,All
780,93.18910256410257,0.0,StateOverride,0,All
810,93.34935897435898,0.0,StateOverride,0,All
840,93.41947115384616,0.0,StateOverride,0,All
870,93.50961538461539,0.0,StateOverride,0,All
900,93.55969551282051,0.0,StateOverride,0,All
930,93.55969551282051,0.0,StateOverride,0,All
960,93.60977564102564,0.0,StateOverride,0,All
990,93.6298076923077,0.0,StateOverride,0,All
1020,93.65985576923077,0.0,StateOverride,0,All
1050,93.6698717948718,0.0,StateOverride,0,All
1080,93.69991987179488,0.0,StateOverride,0,All
1110,93.6698717948718,0.0,StateOverride,0,All
1140,93.6698717948718,0.0,StateOverride,0,All
1170,93.64983974358974,0.0,StateOverride,0,All
1200,93.65985576923077,0.0,StateOverride,0,All
1230,93.7099358974359,0.0,StateOverride,0,All
1260,93.68990384615384,0.0,StateOverride,0,All
1290,93.7900641025641,0.0,StateOverride,0,All
1320,93.84014423076923,0.0,StateOverride,0,All
1350,93.86017628205128,0.0,StateOverride,0,All
1380,93.85016025641026,0.0,StateOverride,0,All
1410,93.8701923076923,0.0,StateOverride,0,All
1440,93.92027243589743,0.0,StateOverride,0,All
1470,93.8701923076923,0.0,StateOverride,0,All
